party,term,coef,trait_vs_issue,coder
Democrat,lie,1.2040746429158267,,
Democrat,everyth,0.9570153834642421,,
Democrat,socialist,0.9383969109283693,,
Democrat,border,0.8103332455017832,,
Democrat,america,0.6383066751702088,,
Democrat,crime,0.5973808105820508,,
Democrat,power,0.5940469163866774,,
Democrat,illeg,0.522989851165488,,
Democrat,anyth,0.5208310997612889,,
Democrat,noth,0.49724673695323357,,
Democrat,everi,0.44369420264868126,,
Democrat,corrupt,0.4184628382106389,,
Democrat,away,0.4182579520704117,,
Democrat,moral,0.4113220887746109,,
Democrat,agenda,0.3719693370216093,,
Democrat,countri,0.36204537523721286,,
Democrat,left,0.3103670713528085,,
Democrat,want,0.25047074652209267,,
Democrat,presid,0.2407830076791483,,
Democrat,state,0.2372308875695678,,
Democrat,use,0.22907141304799244,,
Democrat,say,0.20547182843180747,,
Democrat,abort,0.18891056187593225,,
Democrat,polic,0.18191963132621752,,
Democrat,way,0.1539781098605784,,
Republican,climat,1.399578989471265,,
Republican,racist,0.7987913946126092,,
Republican,hate,0.7208084896990645,,
Republican,wealthi,0.6404420388187713,,
Republican,trump,0.6322898206437059,,
Republican,everyth,0.6314309625060986,,
Republican,lie,0.5666306621608818,,
Republican,corpor,0.4929605515714974,,
Republican,power,0.47908765380069696,,
Republican,religi,0.4448420090410751,,
Republican,becom,0.4384917928631789,,
Republican,poor,0.38350921176155006,,
Republican,anyth,0.38018785547941847,,
Republican,christian,0.37239683518930794,,
Republican,white,0.3599240707525362,,
Republican,noth,0.3452749385822122,,
Republican,healthcar,0.3346736367885555,,
Republican,interest,0.3340918260307776,,
Republican,wrong,0.32702113833472257,,
Republican,even,0.3141854991445092,,
Republican,rich,0.3118769601152507,,
Republican,anti,0.2883213213023118,,
Republican,benefit,0.2810359062569317,,
Republican,corrupt,0.28076103807831104,,
Republican,women,0.2689476741920172,,
